500.000000, 0.004167, 0.003811, 0.007781
503.503504, 0.004246, 0.003855, 0.007963
507.007007, 0.004329, 0.003900, 0.008154
510.510511, 0.004413, 0.003945, 0.008353
514.014014, 0.004501, 0.003992, 0.008561
517.517518, 0.004592, 0.004039, 0.008778
521.021021, 0.004686, 0.004088, 0.009005
524.524525, 0.004784, 0.004137, 0.009243
528.028028, 0.004885, 0.004188, 0.009492
531.531532, 0.004990, 0.004240, 0.009753
535.035035, 0.005099, 0.004293, 0.010028
538.538539, 0.005212, 0.004347, 0.010316
542.042042, 0.005329, 0.004402, 0.010619
545.545546, 0.005452, 0.004458, 0.010938
549.049049, 0.005579, 0.004516, 0.011274
552.552553, 0.005711, 0.004575, 0.011629
556.056056, 0.005849, 0.004635, 0.012003
559.559560, 0.005993, 0.004697, 0.012399
563.063063, 0.006144, 0.004760, 0.012819
566.566567, 0.006301, 0.004825, 0.013263
570.070070, 0.006465, 0.004891, 0.013735
573.573574, 0.006636, 0.004959, 0.014236
577.077077, 0.006816, 0.005029, 0.014769
580.580581, 0.007005, 0.005100, 0.015337
584.084084, 0.007202, 0.005173, 0.015944
587.587588, 0.007410, 0.005248, 0.016593
591.091091, 0.007628, 0.005325, 0.017287
594.594595, 0.007858, 0.005404, 0.018032
598.098098, 0.008100, 0.005485, 0.018833
601.601602, 0.008355, 0.005568, 0.019695
605.105105, 0.008625, 0.005653, 0.020626
608.608609, 0.008910, 0.005741, 0.021631
612.112112, 0.009211, 0.005831, 0.022721
615.615616, 0.009531, 0.005923, 0.023905
619.119119, 0.009871, 0.006019, 0.025194
622.622623, 0.010232, 0.006117, 0.026602
626.126126, 0.010616, 0.006217, 0.028142
629.629630, 0.011026, 0.006321, 0.029834
633.133133, 0.011464, 0.006428, 0.031698
636.636637, 0.011933, 0.006538, 0.033757
640.140140, 0.012435, 0.006652, 0.036041
643.643644, 0.012975, 0.006769, 0.038584
647.147147, 0.013556, 0.006889, 0.041427
650.650651, 0.014183, 0.007014, 0.044619
654.154154, 0.014861, 0.007142, 0.048220
657.657658, 0.015596, 0.007275, 0.052304
661.161161, 0.016394, 0.007412, 0.056960
664.664665, 0.017264, 0.007554, 0.062303
668.168168, 0.018215, 0.007701, 0.068472
